"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc09g010440.3",11745.9799924675,-2.55918652329148,0.18912636105235,-8.24415229381956,1.66335195188438e-16,3.01323562737916e-15
"Solyc08g005650.3",878.83722450588,-3.20896942920795,0.268061906950596,-8.24051971552627,1.71464207493122e-16,3.10150002865179e-15
"Solyc12g009150.2",2511.40546176988,-2.06276286088503,0.129045232435759,-8.23558407253901,1.78683712288002e-16,3.22725754196701e-15
"Solyc09g009420.1",832.624899196838,-3.64252368157919,0.32116263232023,-8.22799234919816,1.90377238892826e-16,3.43332563812241e-15
"Solyc04g081970.3",5293.05689914851,-2.02063203516497,0.124069431041908,-8.22629737715343,1.93089283920297e-16,3.47963880329449e-15
"Solyc11g042630.2",169.906529673323,-10.9749550649616,1.21311708237726,-8.22258231284184,1.99167516580554e-16,3.58116235542089e-15
"Solyc10g082050.1",127.98788603546,-4.75997496654257,0.457308587802203,-8.22196448269816,2.00196482647986e-16,3.59698750904924e-15
"Solyc08g068270.3",241.573759646745,-10.532746785016,1.15982779034683,-8.21910533991032,2.05026898011541e-16,3.68104013175847e-15
"Solyc08g076720.3",6520.21206263592,-3.0460388437712,0.249139828015296,-8.21241172104201,2.16789435966195e-16,3.88356820575172e-15
"Solyc11g006290.2",1113.50825081891,-8.05419964897072,0.860134648851206,-8.20127367080525,2.37853356922793e-16,4.25775127658979e-15
